date,sbi_tt_sell
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
